owner,total_votes,producer_key,is_active,unreg_reason,url,unpaid_blocks,lifetime_produced_blocks,missed_blocks_per_rotation,lifetime_missed_blocks,last_claim_time,location,kick_reason_id,kick_reason,times_kicked,kick_penalty_hours,last_time_kicked
eosteaeostea,6452.87583084384550602,EOS1111111111111111111111111111111114T1Anm,0,,https://telos.eostea.io,0,0,0,0,2018-12-23T17:15:15.000,0,2,Producer account was deactivated by vote.,1,168,2018-12-23T17:21:12.500
eostribeprod,225109660274.32015991210937500,EOS5SCSeFbKSYsKoiAH8PKwWYbkzsJME5rs73gWbtEA4jPSSaJ1xJ,1,,https://eostribe.io/telos,0,53554,0,2,2019-07-12T06:46:12.500,840,0,,0,0,2000-01-01T00:00:00.000
eosvenezuela,90746357622.83963012695312500,EOS7pUMws312EjWwCcyMvV8hJiN5DFePdxsCknTJsrthp1an2AZXu,1,,https://eosvenezuela.io/telos,0,54551,0,0,2019-07-12T06:46:12.500,0,2,Producer account was deactivated by vote.,0,2,2018-12-19T16:15:44.000
eosvibesbloc,215727262773.40979003906250000,EOS5ZiocwWSQhJxKv9zzcPaobe772WoLZDWGZzwnXbB4zRVbLkxt4,1,,https://eosvibes.io/telos,0,351085,0,1662,2019-07-12T06:46:12.500,250,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,0,2,2019-05-04T23:14:00.500
goodblocktls,304574818607.43280029296875000,EOS7GbbU4Kg5Yyi1aRFqHiCHRKAJ7ABSf1oHHzfcHuMGCwgJA1qWC,1,,https://goodblock.io,60,1594271,0,4351,2019-07-12T06:46:12.500,0,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,0,4,2019-03-04T00:22:42.500
gqytqnjtguge,112560437.35251480340957642,EOS1111111111111111111111111111111114T1Anm,0,,https://telosiseos.xyz,0,0,0,0,2018-12-19T14:45:15.000,0,2,Producer account was deactivated by vote.,1,168,2018-12-19T15:03:00.000
infinitybloc,291380370570.60369873046875000,EOS6YDmzf8T58d5j6DdEmxcFoSyPrnDCUvceETkZdSQHhiLqykkoK,1,,https://telos.infinitybloc.io,60,1600454,0,763,2019-07-12T06:46:12.500,0,0,,0,0,2000-01-01T00:00:00.000
jijiplannode,6730787653.54887580871582031,EOS1111111111111111111111111111111114T1Anm,0,,http://jijiplan.com/telos,0,20517,0,1395,2019-04-17T07:15:48.500,0,1,Producer account was deactivated because it reached the maximum missed blocks in this rotation timeframe.,1,2,2019-04-17T07:36:24.500
kainosblkpro,193947019713.65826416015625000,EOS5EdaJGc9YqXhwdwf2SipjBuiCEBYY2r8S8odcEDexidrGSBbJk,1,,https://kainosbp.com,0,1278034,0,221,2019-07-12T06:46:12.500,0,0,,0,0,2000-01-01T00:00:00.000
kesaritooooo,0.00000000000000000,EOS1111111111111111111111111111111114T1Anm,0,,https://goodnoblock.io,0,0,0,0,2018-12-19T15:36:25.000,0,2,Producer account was deactivated by vote.,1,168,2018-12-19T16:16:26.000
